start_time,end_time,instrument,note,start_beat,end_beat,note_value
93149,118750,1,62,2.0,0.979166666667,Eighth
118750,132062,1,62,3.0,0.979166666667,Eighth
132062,139230,1,67,4.0,0.979166666667,Eighth
132062,139230,1,62,4.0,0.979166666667,Eighth
132062,139230,1,59,4.0,0.979166666667,Eighth
139230,147422,1,57,5.0,0.979166666667,Eighth
139230,147422,1,69,5.0,0.979166666667,Eighth
139230,147422,1,60,5.0,0.979166666667,Eighth
147422,155102,1,71,6.0,0.979166666667,Eighth
147422,163806,1,59,6.0,1.97916666667,Quarter
147422,163806,1,55,6.0,1.97916666667,Quarter
155102,163806,1,67,7.0,0.979166666667,Eighth
163806,173022,1,64,8.0,0.979166666667,Eighth
173534,180702,1,64,9.0,0.979166666667,Eighth
181214,187357,1,69,10.0,0.979166666667,Eighth
181214,187357,1,64,10.0,0.979166666667,Eighth
181214,187357,1,60,10.0,0.979166666667,Eighth
187357,195550,1,62,11.0,0.979166666667,Eighth
187357,195550,1,71,11.0,0.979166666667,Eighth
187357,195550,1,59,11.0,0.979166666667,Eighth
195550,214494,1,57,12.0,1.97916666667,Quarter
195550,203742,1,72,12.0,0.979166666667,Eighth
195550,214494,1,60,12.0,1.97916666667,Quarter
204254,214494,1,69,13.0,0.979166666667,Eighth
215006,223709,1,76,14.0,0.979166666667,Eighth
223709,229854,1,74,15.0,0.979166666667,Eighth
229854,238046,1,72,16.0,0.979166666667,Eighth
229854,238046,1,57,16.0,0.979166666667,Eighth
229854,238046,1,54,16.0,0.979166666667,Eighth
238046,246238,1,55,17.0,0.979166666667,Eighth
238046,246238,1,71,17.0,0.979166666667,Eighth
238046,246238,1,59,17.0,0.979166666667,Eighth
246749,254430,1,60,18.0,0.979166666667,Eighth
246749,254430,1,69,18.0,0.979166666667,Eighth
246749,254430,1,57,18.0,0.979166666667,Eighth
254430,262110,1,67,19.0,0.979166666667,Eighth
254430,262110,1,62,19.0,0.979166666667,Eighth
254430,262110,1,59,19.0,0.979166666667,Eighth
262110,270814,1,69,20.0,0.979166666667,Eighth
262110,270814,1,64,20.0,0.979166666667,Eighth
262110,270814,1,60,20.0,0.979166666667,Eighth
270814,302558,1,61,21.0,2.97916666667,Dotted Quarter
270814,273374,1,67,21.0,0.229166666667,Thirty Second
270814,302558,1,64,21.0,2.97916666667,Dotted Quarter
273886,275934,1,69,21.25,0.229166666667,Thirty Second
275934,281054,1,70,21.5,0.479166666667,Sixteenth
281566,289758,1,69,22.0,0.979166666667,Eighth
290270,302558,1,67,23.0,0.979166666667,Eighth
302558,310238,1,66,24.0,0.979166666667,Eighth
302558,318942,1,62,24.0,1.97916666667,Quarter
310238,318942,1,62,25.0,0.979166666667,Eighth
318942,325598,1,62,26.0,0.979166666667,Eighth
326110,333790,1,62,27.0,0.979166666667,Eighth
333790,340958,1,59,28.0,0.979166666667,Eighth
333790,340958,1,67,28.0,0.979166666667,Eighth
333790,340958,1,62,28.0,0.979166666667,Eighth
340958,348126,1,69,29.0,0.979166666667,Eighth
340958,348126,1,60,29.0,0.979166666667,Eighth
340958,348126,1,57,29.0,0.979166666667,Eighth
348126,357342,1,71,30.0,0.979166666667,Eighth
348126,365022,1,55,30.0,1.97916666667,Quarter
348126,365022,1,59,30.0,1.97916666667,Quarter
358878,365022,1,67,31.0,0.979166666667,Eighth
365534,372702,1,64,32.0,0.979166666667,Eighth
372702,380894,1,64,33.0,0.979166666667,Eighth
380894,388062,1,69,34.0,0.979166666667,Eighth
380894,388062,1,64,34.0,0.979166666667,Eighth
380894,388062,1,60,34.0,0.979166666667,Eighth
388062,396765,1,59,35.0,0.979166666667,Eighth
388062,396765,1,71,35.0,0.979166666667,Eighth
388062,396765,1,62,35.0,0.979166666667,Eighth
397278,406493,1,72,36.0,0.979166666667,Eighth
397278,415710,1,60,36.0,1.97916666667,Quarter
397278,415710,1,57,36.0,1.97916666667,Quarter
406493,415710,1,69,37.0,0.979166666667,Eighth
415710,423902,1,76,38.0,0.979166666667,Eighth
423902,430558,1,74,39.0,0.979166666667,Eighth
431070,439262,1,57,40.0,0.979166666667,Eighth
431070,439262,1,72,40.0,0.979166666667,Eighth
431070,439262,1,54,40.0,0.979166666667,Eighth
439774,447966,1,71,41.0,0.979166666667,Eighth
439774,447966,1,59,41.0,0.979166666667,Eighth
439774,447966,1,55,41.0,0.979166666667,Eighth
447966,455134,1,69,42.0,0.979166666667,Eighth
447966,455134,1,60,42.0,0.979166666667,Eighth
447966,455134,1,57,42.0,0.979166666667,Eighth
455134,463837,1,67,43.0,0.979166666667,Eighth
455134,463837,1,62,43.0,0.979166666667,Eighth
455134,463837,1,59,43.0,0.979166666667,Eighth
464350,472030,1,69,44.0,0.979166666667,Eighth
464350,472030,1,64,44.0,0.979166666667,Eighth
464350,472030,1,60,44.0,0.979166666667,Eighth
472542,491486,1,50,45.0,1.97916666667,Quarter
472542,491486,1,62,45.0,1.97916666667,Quarter
472542,491486,1,59,45.0,1.97916666667,Quarter
481246,491486,1,67,46.0,0.979166666667,Eighth
491486,499678,1,66,47.0,0.979166666667,Eighth
491486,499678,1,60,47.0,0.979166666667,Eighth
491486,499678,1,57,47.0,0.979166666667,Eighth
491486,499678,1,50,47.0,0.979166666667,Eighth
499678,519134,1,67,48.0,1.97916666667,Quarter
499678,519134,1,59,48.0,1.97916666667,Quarter
499678,519134,1,55,48.0,1.97916666667,Quarter
499678,519134,1,43,48.0,1.97916666667,Quarter
519134,527326,1,62,50.0,0.979166666667,Eighth
527326,536030,1,67,51.0,0.979166666667,Eighth
536030,544734,1,71,52.0,0.979166666667,Eighth
545246,552926,1,74,53.0,0.979166666667,Eighth
553438,561118,1,74,54.0,0.979166666667,Eighth
561118,570334,1,72,55.0,0.979166666667,Eighth
561118,570334,1,69,55.0,0.979166666667,Eighth
561118,570334,1,62,55.0,0.979166666667,Eighth
561118,570334,1,54,55.0,0.979166666667,Eighth
570334,580062,1,72,56.0,0.979166666667,Eighth
570334,580062,1,69,56.0,0.979166666667,Eighth
570334,580062,1,62,56.0,0.979166666667,Eighth
570334,580062,1,54,56.0,0.979166666667,Eighth
580062,587742,1,74,57.0,0.979166666667,Eighth
588254,594398,1,71,58.0,0.979166666667,Eighth
588254,594398,1,67,58.0,0.979166666667,Eighth
588254,594398,1,62,58.0,0.979166666667,Eighth
588254,594398,1,55,58.0,0.979166666667,Eighth
594398,602590,1,71,59.0,0.979166666667,Eighth
594398,602590,1,67,59.0,0.979166666667,Eighth
594398,602590,1,62,59.0,0.979166666667,Eighth
594398,602590,1,55,59.0,0.979166666667,Eighth
602590,611806,1,74,60.0,0.979166666667,Eighth
611806,621022,1,72,61.0,0.979166666667,Eighth
611806,621022,1,69,61.0,0.979166666667,Eighth
611806,621022,1,62,61.0,0.979166666667,Eighth
611806,621022,1,54,61.0,0.979166666667,Eighth
621534,629214,1,72,62.0,0.979166666667,Eighth
621534,629214,1,69,62.0,0.979166666667,Eighth
621534,629214,1,62,62.0,0.979166666667,Eighth
621534,629214,1,54,62.0,0.979166666667,Eighth
629726,637918,1,74,63.0,0.979166666667,Eighth
637918,646110,1,71,64.0,0.979166666667,Eighth
637918,646110,1,67,64.0,0.979166666667,Eighth
637918,646110,1,62,64.0,0.979166666667,Eighth
637918,646110,1,55,64.0,0.979166666667,Eighth
646110,654814,1,71,65.0,0.979166666667,Eighth
646110,654814,1,67,65.0,0.979166666667,Eighth
646110,654814,1,62,65.0,0.979166666667,Eighth
646110,654814,1,55,65.0,0.979166666667,Eighth
654814,662494,1,74,66.0,0.979166666667,Eighth
663006,671198,1,72,67.0,0.979166666667,Eighth
663006,671198,1,69,67.0,0.979166666667,Eighth
663006,671198,1,62,67.0,0.979166666667,Eighth
663006,671198,1,54,67.0,0.979166666667,Eighth
671198,679390,1,71,68.0,0.979166666667,Eighth
671198,679390,1,67,68.0,0.979166666667,Eighth
671198,679390,1,62,68.0,0.979166666667,Eighth
671198,679390,1,55,68.0,0.979166666667,Eighth
679390,689118,1,74,69.0,0.979166666667,Eighth
689630,700894,1,72,70.0,0.979166666667,Eighth
689630,700894,1,69,70.0,0.979166666667,Eighth
689630,700894,1,62,70.0,0.979166666667,Eighth
