,hand,channel,note,velocity,start_beat,duration,note_value,chord
0,Left,1,41,80,0.0,0.072917,TripletThirtySecond,F2
1,Left,1,53,80,0.083333,0.072917,TripletThirtySecond,F3
2,Left,1,53,80,0.166667,0.072917,TripletThirtySecond,F3
3,Right,0,65,80,0.25,0.072917,TripletThirtySecond,F4
4,Right,0,65,80,0.333333,0.072917,TripletThirtySecond,F4
5,Right,0,77,80,0.416667,0.072917,TripletThirtySecond,F5
6,Right,0,77,80,0.5,0.072917,TripletThirtySecond,F5
7,Right,0,89,80,0.583333,0.65625,DottedEighth,F6
8,Left,1,41,80,0.666667,0.822917,DottedEighth,F2_F1
10,Right,0,77,80,1.375,0.489583,Eighth,F6_F5
12,Left,1,41,80,1.875,0.489583,Eighth,F3_F2
14,Right,0,85,80,2.895833,0.489583,Eighth,G#5_F6_F5_C#6
18,Left,1,49,80,3.75,0.489583,Eighth,C#3_C#2
20,Right,0,77,80,4.520833,0.489583,Eighth,F6_F5_C#6_A#5
24,Left,1,46,80,5.291667,0.489583,Eighth,A#2_A#1
26,Right,0,85,80,6.0,0.989583,Quarter,F#6_F#5_C#6_A#5
30,Left,1,42,80,7.0,0.489583,Eighth,F#2_F#1
32,Right,0,73,80,7.625,0.114583,ThirtySecond,C#5
33,Right,0,78,80,7.75,0.114583,ThirtySecond,F#5
34,Right,0,73,80,7.875,0.114583,ThirtySecond,C#5
35,Right,0,78,80,8.0,0.114583,ThirtySecond,F#5
36,Right,0,73,80,8.125,0.114583,ThirtySecond,C#5
37,Right,0,78,80,8.25,0.114583,ThirtySecond,F#5
38,Right,0,70,80,8.375,0.114583,ThirtySecond,A#4
39,Right,0,75,80,8.5,0.989583,Quarter,D#5
40,Right,0,66,80,8.625,0.114583,ThirtySecond,F#4
41,Right,0,71,80,8.75,0.114583,ThirtySecond,B4
42,Right,0,66,80,8.875,0.114583,ThirtySecond,F#4
43,Right,0,71,80,9.0,0.114583,ThirtySecond,B4
44,Right,0,66,80,9.125,0.114583,ThirtySecond,F#4
45,Right,0,71,80,9.25,0.114583,ThirtySecond,B4
46,Right,0,63,80,9.375,0.114583,ThirtySecond,D#4
47,Right,0,75,80,9.5,0.239583,Sixteenth,F4_D#5
49,Left,1,53,80,9.625,0.114583,ThirtySecond,F3
50,Right,0,68,80,9.625,0.114583,ThirtySecond,G#4
51,Left,1,56,80,9.75,0.114583,ThirtySecond,G#3
52,Right,0,73,80,9.75,0.489583,Eighth,F4_C#5
54,Right,0,68,80,9.875,0.114583,ThirtySecond,G#4
55,Left,1,53,80,9.875,0.114583,ThirtySecond,F3
56,Left,1,56,80,10.0,0.114583,ThirtySecond,G#3
57,Right,0,65,80,10.0,0.114583,ThirtySecond,F4
