start(sec),chord
1.044,C#5_C5_F3_G#3
1.173,C#5
1.251,C5
2.204,C#5
2.477,C5
3.016,C5
4.41,F5
5.006,A#3_C#4_F5_G4
6.048,G#4
6.33,G4
6.903,G4
7.639,D#5
8.172,C#5
8.765,C4_C5_E4_G4
9.782,C#4
10.048,C4
10.599,C4
11.146,F4_G#4
11.691,A#4_G4
12.246,A#4_C#3_C#4_G4
13.291,F4_G#4
13.555,E4_G4
14.118,F4_G#4
15.201,C4
15.452,B3
16.05,C3_C4
17.06,A#4_G4
17.185,G4
17.339,F4_G#4
17.83,E4_G4
18.325,F4_G#4
18.818,A#4_G4
19.344,A#4_C#3_C#4_G4
20.376,F4_G#4
20.657,E4_G4
21.214,F4_G#4
22.341,C4
22.602,B3
23.204,C4
24.402,E4_G4
24.685,F4_G#4
25.266,A#4_G4
25.839,F4_G#4
26.421,A#3_E4_G4
27.125,A#3_E4_F3_G4
29.495,F4_G#3
33.124,D#3_G#4
33.572,G#3
33.862,C4
34.126,G#3
34.354,D#3_G#4
34.639,G#3
34.902,A#4_D#3
35.195,G3
35.449,A#3
35.778,G3
36.091,D#3
36.143,A#4
36.39,G3
36.652,A#4_D#3
36.954,G3
37.235,A#3
37.532,G3
37.85,D#3
38.144,G3
38.495,D#3
38.555,C5
38.939,G#3
39.219,C4
39.501,G#3
39.793,D#3_G#4
40.06,G#3
40.344,C#5_F3
40.623,G#3
40.886,C#4
41.143,G#3
41.408,C5_D#3
41.69,G#3
41.968,D3_F5
42.315,F3
42.6,A#3
42.874,F3
43.218,D3_F4
43.505,F3
43.785,D#3_G#4
44.054,G3
44.316,A#3
44.554,G3
44.858,D#3
45.147,G3
45.438,D#3_G4
45.759,G3
46.045,A#3
46.39,G3
46.744,D#3_D#5
47.032,G3
47.261,E3
47.335,D5
47.634,G#3
47.895,B3
48.158,G#3
48.436,E3
48.746,G#3
49.031,E3_G#5
49.39,G#3
49.668,B3
49.962,G#3
50.264,E3
50.595,G#3
50.959,D#3_G5
51.325,G3
51.622,A#3
51.906,G3
52.18,D#3
52.468,G3
52.746,A#5_D#3
53.026,G3
53.309,A#3
53.623,G3
53.923,D#4
54.236,A#3
54.755,B5_D4
55.14,F4
55.407,G#4
55.693,F4
55.971,D4
56.271,F4
56.593,D4_G#5
56.98,F4
57.261,B4
57.583,F4
57.849,D4
58.139,F4
58.574,C#4_D#6
59.029,G4
59.359,A#4
59.628,G4
59.915,C#4
60.21,G4
60.475,C#4
60.543,G5
60.867,D#4
61.15,A#4
61.424,D#4
61.728,C#4
62.035,D#4
62.376,C4
62.756,D#4
63.043,G#4_G#5
63.352,D#4
63.654,C4_G#5
63.94,D#4
64.204,C#4
64.482,F4
64.755,F5_G#4
65.069,F4
65.327,C#4_F5
65.621,F4
65.878,D#4
66.154,G#4
66.395,C5_D#5
66.722,G#4
66.972,D#4_D#5
67.247,G#4
67.503,D#4
67.803,A#4
68.052,C#5_G5
68.408,A#4
68.692,D#4_G5
68.983,A#4
69.295,F4
69.359,G#5
69.746,G#4
70.019,C5
70.273,G#4
70.552,C6_F4
70.853,G#4_G#5
71.126,C#4_G5
71.42,F4_F5
71.723,G#4
72.01,F4_G#5
72.282,C#4_G5
72.544,F4_F5
72.822,D#3_F5
73.204,D#5_G#3
73.504,C4
73.857,G#3
73.954,F5
74.14,D#5
74.208,D#3
74.267,C#5
74.393,C5
74.486,A#4_G#3
74.634,G#4
74.759,C5_D#3
74.941,A#4
75.038,C5_G3
75.157,A#4
75.252,C#4_C5
75.338,A#4
75.42,C5
75.506,A#4_G3
75.604,C5
75.683,A#4
75.759,C5_D#3
75.84,A#4
75.903,C5
75.983,A#4_G3
76.085,G#4
76.178,A#4
76.311,G#3_G#4
77.702,A#4_C5_E3_G4
78.267,C5_F3_F4_G#4
79.697,A#4_C#3_C#5_F4
80.283,C5_D#3_D#4_G#4
81.212,A#4_C#5
81.523,A#4_C#4_D#2_G4
82.136,C4_G#2_G#4
83.814,A#3_C4_E2_G3
84.408,C4_F2_F3_G#3
85.974,A#3_C#2_C#4_F3
86.688,D#2
86.748,C4_D#3_G#3
88.041,A#3_C#4
88.39,D#2
88.469,A#3_C#3_G3
89.341,A#3_C#3_G#2_G3
91.847,C3_G#1_G#3
95.007,D#5_F5
95.143,F5
95.199,D#5
96.171,F5
96.426,D#5
96.962,D#5
98.284,D#5
98.88,A4_C5_D#5_F#4
100.031,F4_F5
100.615,D#4_F#5
102.951,A3_C4_D#4_F#3
104.151,F3_F4
104.736,D#3_F#4
106.747,A#4_C#3_C#4_F4
107.275,A4_C3_C4_D#4
107.824,A#2_A#3_A#4_C#4
108.228,F4
108.282,C5
108.355,A2_A3_D#5
110.875,A#2
111.445,C#5
111.776,C5
112.036,C#5
112.282,D#5
112.541,C#5
112.889,F#5
113.316,A#3_C#5
113.628,A3_C5
113.884,A#3_C#5
114.149,C4_D#5
114.41,A#3_C#5
114.719,A3_C5
115.031,F#5
115.28,F5
115.518,F#5
115.788,G#5
116.036,F#5
116.32,F5
116.625,C5_G#3
116.899,B4_G3
117.143,C5_G#3
117.401,A#3_C#5
117.66,C5_G#3
117.928,B4_G3
118.286,D4_F5
118.531,C#4_E5
118.79,D4_F5
119.042,D#4_G5
119.297,D4_F5
119.618,F#3
119.869,C4_D#5
120.107,B3_D5
120.35,C4_D#5
120.617,D4_F5
120.868,C4_D#5
121.178,B4_D5
121.446,G3
121.711,F#3
121.962,G3
122.229,G#3
122.49,G3
122.911,G2
124.606,C3_D#3_G#4
124.674,G4
124.731,G#4
124.802,G4
125.606,G#4
125.872,G4
126.42,G4
127.649,C5
128.174,C5_D4_F3_G#3
129.052,D#4
129.341,D4
129.922,D4
130.682,A#4
131.246,G#4
131.805,B3_D4_G3_G4
132.703,G#3
132.966,G3
133.558,G3
134.103,C4_D#4
134.643,D4_F4
135.223,C3_C4_F4
136.169,C#3
136.455,C3
136.918,C3
136.98,E4_G4
137.483,F4_G#4
137.964,A#4_G4
138.206,F3
138.304,C#5_C5_G#3_G#4
138.459,C#5
138.516,C5_G#4
139.331,C#5
139.611,C5
140.128,C5
141.346,F5
141.908,A#3_C#4_F5_G4
142.877,G#4
143.133,G4
143.736,G4
144.421,D#5
144.989,C#5
145.564,C4_C5_E4_G4
146.541,C#4
146.822,C4
147.375,C4
147.949,F4_G#4
148.506,A#4_G4
149.107,A#4_C#3_C#4_G4
149.248,G4
150.136,F4_G#4
150.408,E4_G4
150.964,F4_G#4
151.975,C4
152.248,B3
152.876,C3_C4
154.149,E4_G4
154.427,F4_G#4
155.022,A#4_G4
155.601,F4_G#4
156.208,A#3_E4_G4
156.935,A#3_E4_F3_G4
159.339,F4_G#3
163.362,C5_F3
163.808,G#3
164.123,C4
164.417,G#3
164.714,C5_F3
164.982,G#3
165.247,C5_D#3
165.584,F#3
165.875,A3
166.188,F#3
166.56,C5_D#3
166.859,F#3
167.126,C#3_C5
167.579,F3
167.875,A3
168.147,F3
168.441,C#3
168.742,F3
169.109,C#3
169.231,A#4
169.632,F3
169.906,A#3
170.197,F3
170.566,C3_G#4
170.853,F3
171.117,A#2_F#4
171.433,C#3
171.71,A#3
171.968,C#3
172.266,A#2_A#4
172.571,C#3
172.835,A#2_G#4
173.219,C#3_F#4
173.489,F#3
173.773,C#3
174.059,B2_F4
174.349,D3
174.616,C3_F4
174.932,F3
175.2,G#3
175.467,F3
175.753,C3
176.047,F3
176.356,C3
176.419,E4
176.793,E3
177.068,G3
177.34,E3
177.655,C3
177.982,E3
178.344,C#3
178.412,B4
178.775,F3
179.047,G#3
179.298,F3
179.595,C#3
179.865,F3
180.155,C#3_F5
180.509,F3
180.807,G#3
181.085,F3
181.361,C#3
181.703,F3
182.101,C3_E5
182.501,E3
182.804,G3
183.086,E3
183.335,C3
183.634,E3
183.922,C3
183.981,G5
184.225,E3
184.508,G3
184.814,E3
185.142,C4
185.498,G3
186.004,B3
186.074,G#5
186.454,D4
186.744,F4
187.022,D4
187.302,B3
187.604,D4
187.955,B3_G5
188.366,D4_F5
188.679,G#4
188.947,D4
189.264,B3
189.561,D4
190.008,A#3_C#6
190.498,E4
190.814,G4
191.095,E4
191.38,A#3
191.668,E4
191.947,A#3_E5
192.268,C#4
192.566,G4
192.872,C#4
193.145,A#3
193.454,C#4
193.797,G#3
194.142,C4
194.399,F4_F5
194.765,C4
195.036,F5_G#3
195.306,C4
195.59,A#3
195.849,C#4
196.138,C#5_F4
196.43,C#4
196.7,A#3_C#5
196.965,C#4
197.208,C4
197.481,F4
197.773,C5_G#4
198.071,F4
198.325,C4_C5
198.612,F4
198.854,C4
199.13,G4
199.403,A#4_E5
199.749,G4
200.033,C4_E5
200.33,G4
200.672,G#3
200.743,F5
201.127,C4
201.424,F4
201.699,C4
201.964,C6_G#3
202.254,C4_G#5
202.53,A#3_G#5
202.807,C#4_G5
203.074,C#6_F4
203.315,A#5_C#4
203.594,A#3_A#5
203.859,C#4_G5
204.135,C4_G5
204.501,F4_F5
204.803,G#4
205.079,F4
205.323,C4
205.599,F4
205.692,G#5
205.809,F#5
205.872,C3_G#5
205.997,F#5
206.083,G#5
206.14,D#3_F#5
206.231,G#5
206.318,A3_F#5_G#5
206.468,F#5
206.533,G#5
206.623,D#3_F#5
206.696,G#5
206.778,F#5
206.851,C3_F#5_G#5
206.989,G#5
207.07,F#5
207.17,D#3_F5
207.275,F#5
207.422,C#3_F5
207.792,F3
208.064,B3_G5
208.351,F3
208.619,C#3_G#5
208.908,F3
209.178,D3_G#4
209.462,F3
209.768,A#4_G#3
210.053,F3
210.367,B4_D3
210.694,F3
211.089,C3_C5
211.603,C#5
211.919,D5
212.193,D#5
212.461,E5
212.8,F5
213.189,C3
213.267,F4
213.531,G#4
213.633,E3
213.709,G4
213.845,A#3_G#4_G4
214.03,G#4
214.103,E3_G#4_G4
214.261,G4
214.346,C3_G#4_G4
214.497,G#4
214.583,G4
214.708,E3_F4
214.801,G4
214.991,F3_F4
216.499,A2_C4_D#4_F4
217.082,A#2_A#3_C#4_F4
218.523,A#2_C#5_F4
219.168,C3_C4_F4_G#4
220.123,A#4_G4
220.44,A#3_C2_E4_G4
221.028,F2
221.093,F4_G#3
222.804,A2_A3_D#5_F#4
223.489,A#2_A#3_C#5_F4
225.433,B3_F5_G#4
226.322,C4_F4_G#4
227.9,A#4_G4
228.325,A#3_C3_E4_G4
229.424,A#3_E4_F3_G4
232.431,C4_F2_F4_G#3
240.728,C6
240.793,A5
240.869,F5
241.062,F5
241.241,F5
241.393,A#5_E5_G4
